Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-11-19,17.61,18.13,17.5,17.97
2017-11-20,17.97,18.87,17.91,18.48
2017-11-21,18.48,18.68,17.07,17.66
2017-11-22,17.66,18.17,17.6,17.98
2017-11-23,17.98,18.79,17.61,17.98
2017-11-24,17.98,21.24,17.61,21.01
2017-11-25,21,22.62,19.98,21.31
2017-11-26,21.31,21.85,20.63,21.64
2017-11-27,21.65,25.74,20.89,24.69
2017-11-28,24.69,32.79,24.54,31.42
2017-11-29,31.41,31.69,22.5,24.28
2017-11-30,24.28,27.08,21.66,26.1
2017-12-01,26.1,30.17,24.18,29.64
2017-12-02,29.62,30.71,28.13,28.89
2017-12-03,28.89,30.88,27.71,28.93
2017-12-04,28.93,29.65,27.47,29.25
2017-12-05,29.24,29.36,27.81,28.01
2017-12-06,27.98,28.17,23.85,24.95
2017-12-07,24.95,27.28,23.17,23.32
2017-12-08,23.31,27.64,22.13,27.58
2017-12-09,27.58,31.19,24.8,27.51
2017-12-10,27.51,27.75,23.35,25.27
2017-12-11,25.27,28.49,25.23,26.64
2017-12-12,26.64,31.9,26.58,29.2
2017-12-13,29.2,33.29,26.47,29
2017-12-14,28.99,33.58,28.79,31.3
2017-12-15,31.3,32.2,27.23,31.46
2017-12-16,31.46,37.57,30.3,33.76
2017-12-17,33.76,35.8,33.35,34.02
2017-12-18,34.02,40.87,31.34,38.04
2017-12-19,38.06,42.96,35.88,37.4
2017-12-20,37.4,41.33,34.2,38.93
2017-12-21,38.94,42.65,35.28,36.97
2017-12-22,36.97,37.39,18.53,27.23
2017-12-23,27.23,31.41,27.01,28.44
2017-12-24,28.44,28.77,23.67,27.47
2017-12-25,27.47,29.45,26.69,28.58
2017-12-26,28.58,30.46,28.53,29.99
2017-12-27,29.99,30.74,27.59,28.78
2017-12-28,28.78,28.95,25.18,26.89
2017-12-29,26.89,28.63,25.96,27.38
2017-12-30,27.35,27.37,22.77,23.84
2017-12-31,23.84,26.61,23.62,26.05
2018-01-01,26.05,31.69,25.24,29.23
2018-01-02,29.23,34.38,29.23,31.87
2018-01-03,31.87,33.77,30.1,33.11
2018-01-04,33.11,37.08,30.74,33.77
2018-01-05,33.77,35.25,30.55,31.16
2018-01-06,31.16,34.64,30.93,34
2018-01-07,34,36.07,33.95,35.45
2018-01-08,35.46,38.5,28.4,33.81
2018-01-09,33.81,38.46,31.18,37.5
2018-01-10,37.5,38.85,33.71,36.42
2018-01-11,36.42,37.71,30.14,32.4
2018-01-12,32.4,36.78,31.11,35.9
2018-01-13,35.9,42.52,35.14,42.33
2018-01-14,42.33,46.96,39.32,42.55
2018-01-15,42.55,43.68,39.81,40.01
2018-01-16,40.01,40.24,22.46,27.85
2018-01-17,27.85,30.43,22.12,29.01
2018-01-18,29.01,32.57,27.58,29.59
2018-01-19,29.59,33.86,28.4,31.65
2018-01-20,31.66,35.54,31.65,34.95
2018-01-21,34.95,36.13,28.94,30.36
2018-01-22,30.36,32.75,26.55,29.18
2018-01-23,29.18,30.31,26.19,28.2
2018-01-24,28.2,30.33,27.85,29.67
2018-01-25,29.67,30.32,28.61,29.09
2018-01-26,29.09,29.56,26.55,27.85
2018-01-27,27.84,30.25,27.83,30.09
2018-01-28,30.05,33.82,29.38,32.87
2018-01-29,32.88,33.17,30.36,30.7
2018-01-30,30.7,31.34,26.71,27.64
2018-01-31,27.63,28.3,26,27.9
2018-02-01,27.9,28.84,23.8,24.74
2018-02-02,24.72,25.26,18.61,23.01
2018-02-03,23.05,24.91,20.83,24.08
2018-02-04,24.07,24.8,19.72,21.38
2018-02-05,21.38,21.39,15.7,16.36
2018-02-06,16.42,19.34,14.04,18.73
2018-02-07,18.73,20.47,17.32,18.85
2018-02-08,18.85,21.9,18.09,21.47
2018-02-09,21.47,26.19,20.85,25.25
2018-02-10,25.23,26.22,22.49,24.02
2018-02-11,24.02,25.78,21.03,24.98
2018-02-12,25.02,29.99,23.67,29.92
2018-02-13,29.91,34.11,27.83,33.01
2018-02-14,33.08,35.84,32.36,34.08
2018-02-15,34.07,35.37,31.99,33.97
2018-02-16,33.98,34.93,32.21,34.74
2018-02-17,34.74,35.01,33.88,34.65
2018-02-18,34.65,34.89,30.7,34.19
2018-02-19,34.18,39.23,33.18,38.61
2018-02-20,38.58,42.82,36.82,37.12
2018-02-21,37.16,38.41,32.99,34.95
2018-02-22,34.93,35.95,30.22,31.66
2018-02-23,31.64,36.68,30.23,36.14
2018-02-24,36.14,38.89,34.55,36.12
2018-02-25,36.11,36.89,33.67,35.68
2018-02-26,35.7,36.38,33.44,35.45
2018-02-27,35.45,37.14,34.72,36.05
2018-02-28,36.06,36.25,32.94,33.08
2018-03-01,33.08,34.75,31.62,33.77
2018-03-02,33.77,33.9,30.06,31.03
2018-03-03,31.04,31.84,28.35,28.76
2018-03-04,28.76,31.06,28.69,29.02
2018-03-05,29.03,30.19,26.31,26.92
2018-03-06,26.92,27.26,24.88,25.21
2018-03-07,25.15,25.28,20.45,21.99
2018-03-08,21.98,24.88,20.91,22.24
2018-03-09,22.26,22.87,20.09,22
2018-03-10,22.01,22.73,20.46,20.81
2018-03-11,20.8,21.75,19.65,21.45
2018-03-12,21.44,21.72,19.87,20.21
2018-03-13,20.21,20.82,19.57,19.85
2018-03-14,19.85,20.24,16,16.87
2018-03-15,16.88,19.54,15.74,18.54
2018-03-16,18.53,18.53,17.15,18.14
2018-03-17,18.15,18.21,16.01,16.59
2018-03-18,16.59,17.06,14.37,16.57
